Tipo;Tag;Placa;Marca;Modelo;Valor;Cor;Chassi;Ano/Modelo;Renavam;Motor
CARRO;DKCR001;PDG5F83;CARRO;ETIOS;R$          42.000,00;BRANCA;9BRK29BT8F00550005;2015/2015;1041330542;V270924
CARRO;DKCR002;PGZ0J54;CARRO;KA;R$          40.000,00;VERMELHA;9BFZH55L5J8462899;2017/2018;1113490818;XNKAJ8462899
CARRO;DKCR003;RZJ5C24;CARRO;KWID;R$          35.000,00;BRANCA;93YRBB008PJ198053;2022/2023;1291429511;B4DA422Q006443
CARRO;DKCR004;QYI3E13;CARRO;KWID;R$          37.000,00;BRANCA;93YRBB004MJ388783;2020/2021;1228593920;B4DA402Q196414
CARRO;DKCR005;PKQ5J03;CARRO;KWID;R$          36.000,00;BRANCA;93YRBB00XJJ997212;2017/2018;1130206022;B4DA402Q013194
CARRO;DKCR006;PDK0B60;CARRO;KWID;R$          35.000,00;LARANJA;93YRBB007KJ617986;2018/2019;1168949170;B4DA402Q076043
CARRO;DKCR007;PEI2202;CARRO;CLASSIC;R$          20.000,00;BEGE;9BGSU19F0CC202057;2012/2012;454323158;NAA233233
CARRO;DKCR008;PLP2G62;CARRO;KWID;R$          37.000,00;BEGE;93YRBB008KJ891455;2019/2019;1188203107;B4DA402Q116105
CARRO;DKCR009;JQD4751;CARRO;CLASSIC;R$          16.500,00;PRETA;9BGSA19906B224526;2006/2006;889294917;M50010683
CARRO;DKCR010;JRB5376;CARRO;PRISMA;R$          19.100,00;PRATA;9BGRJ69808G118724;2007/2008;945817088;M80028093
CARRO;DKCR011;OYN5604;CARRO;HB20;R$          38.000,00;PRATA;9BHBG51CAEP226024;2014/2014;999323458;F3LADP191842
CARRO;DKCR012;KLP9J27;CARRO;PRISMA JOY;R$          25.000,00;PRETA;9BGRJ6910AG125665;2009/2010;150636725;S90055980
MOTO;DKMT001;RZS4G95;HONDA;CG 160 FAN;R$          18.500,00;VERMELHA;9C2KC2200PR025298;2022/2023;1327599438;KC22E0P024825
MOTO;DKMT002;RZJ3D92;HONDA;CG 160 FAN;R$          16.150,00;PRETA;9C2KC2200NR185612;2022/2022;1290914505;KC22E0N185609
MOTO;DKMT003;SJR1B50;HONDA;CG 160 FAN;R$          19.000,00;PRETA;9C2KC2200RR506894;2023/2024;1376250311;KC22E0R506878
MOTO;DKMT004;RZW5D99;HONDA;CG 160 FAN;R$          17.300,00;VERMELHA;9C2KC2200PR058734;2023/2023;1343588658;KC22E0P058638
MOTO;DKMT005;SOQ1J79;YAMAHA;YBR 150 FACTOR DX FLEX;R$          20.000,00;PRATA;9C6RG9920S0005963;2025/2025;1432513904;G3W6E019173
MOTO;DKMT006;SOQ2D39;YAMAHA;YBR 150 FACTOR DX FLEX;R$          20.000,00;PRATA;9C6RG9920S0007697;2025/2025;1432520455;G3W6E022386
MOTO;DKMT007;SOQ3B79;YAMAHA;YBR 150 FACTOR DX FLEX;R$          20.000,00;PRATA;9C6RG9920S0008215;2025/2025;1432532780;G3W6E022614
